Source_File,Design_Codes,Risk_Category,Site_Class
1.pdf,"2006 IBC, 2018 IBC, 2020 IBC, ACI318-14, AISC360-16, ASCE7-10, ASCE7-16",II,D
2.pdf,"2006 IBC, 2020 IBC, 2021 IBC, ACI318-19, AISC360-16, ASCE7-10, ASCE7-16",II,C
3.pdf,THE 2018 NCBC,II,B
