Source_File,Job_Number,Project_Name,Location_Name,Design_Codes,Materials,Seismic_Resistance_System,Risk_Category,Seismic_Design_Category,Site_Class,Wind_Speed,All_Data
1.pdf,"['22.00.062', '22.00.062.02']",Unknown,Null,"2006 IBC, 2018 IBC, 2020 IBC, ACI318-14, AISC360-16, ASCE7-10, ASCE7-16","['FOUNDATION', 'CONCRETE', 'REBAR', 'CMU', 'STEEL', 'REINFORCED CONCRETE', 'STRUCTURAL STEEL', 'JOISTS', 'ANCHOR', 'CAST-IN-PLACE', 'TRUSS', 'WELD', 'METAL DECK', 'MASONRY', 'COLD-FORMED', 'FASTENERS', 'BRICK', 'ZINC', 'PLASTIC', 'TILT-UP', 'PRECAST']","['STEEL SYSTEM NOT SPECIFICALLY DETAILED FOR SEISMIC RESISTANCE', 'ORDINARY PRECAST SHEAR WALLS']",II,B,D,108 mph,See Excel file in results folder
2.pdf,"['23.00.110.00', '23.00.110', '23.00.110.001']",Unknown,Null,"2006 IBC, 2020 IBC, 2021 IBC, ACI318-19, AISC360-16, ASCE7-10, ASCE7-16","['FOUNDATION', 'CONCRETE', 'REBAR', 'CMU', 'STEEL', 'REINFORCED CONCRETE', 'JOISTS', 'STRUCTURAL STEEL', 'TILT-UP', 'ANCHOR', 'TRUSS', 'WELD', 'METAL DECK', 'COLD-FORMED', 'FASTENERS', 'MASONRY', 'ZINC', 'BRICK', 'CAST-IN-PLACE', 'PRECAST']","['STEEL SYSTEM NOT SPECIFICALLY DETAILED FOR SEISMIC RESISTANCE', 'ORDINARY PRECAST SHEAR WALLS']",II,A,C,106 mph,See Excel file in results folder
3.pdf,['59.6726.000'],Unknown,Null,THE 2018 NCBC,"['MASONRY', 'REINFORCED CONCRETE', 'STEEL', 'CONCRETE', 'METAL DECK', 'WELD', 'CMU', 'BRICK', 'ANCHOR', 'STRUCTURAL STEEL', 'LVL', 'PRECAST', 'ZINC', 'JOISTS', 'FOUNDATION', 'CAST-IN-PLACE', 'FASTENERS', 'PLYWOOD', 'ALUMINUM', 'REBAR', 'STONE', 'WOOD', 'DRILLED PIERS', 'CABLE', 'LIGHT GAUGE']",Null,II,Null,B,115 mph,See Excel file in results folder
4.pdf,['70205085'],Unknown,Null,"2015 IBC, 2018 2018 NCBC, ACI318-11, ASCE7-05, ASCE7-10, NDS","['PRECAST', 'CONCRETE', 'MASONRY', 'STEEL', 'JOISTS', 'WELD', 'STRUCTURAL STEEL', 'CMU', 'COLD-FORMED', 'FOUNDATION', 'ANCHOR', 'STONE', 'ZINC', 'BRICK', 'TRUSS', 'FASTENERS', 'CAST-IN-PLACE', 'WOOD', 'PLYWOOD', 'OSB']","['STEEL SYSTEMS NOT SPECIFICALLY DESIGNED FOR SEISMIC RESISTANCE', 'ORDINARY REINFORCED MASONRY SHEAR WALLS']",III,B,D,120 mph,See Excel file in results folder
5.pdf,['21.07.107'],Unknown,Null,THE 2018 IBC,"['REINFORCED CONCRETE', 'STRUCTURAL STEEL', 'CONCRETE', 'STEEL', 'ANCHOR', 'JOISTS', 'FOUNDATION', 'WOOD', 'MASONRY', 'CMU', 'BRICK', 'WELD', 'ZINC', 'FASTENERS', 'METAL DECK']",['STRUCTURAL STEEL SYSTEM NOT SPECIFICALLY DETAILED FOR SEISMIC'],II,C,D,121 mph,See Excel file in results folder
6.pdf,"['SLR.019', 'FILE', 'SLR.']",Unknown,Null,"2015 IRC, 2018 IRC, NDS","['ANCHOR', 'PLYWOOD', 'LVL', 'CONCRETE', 'MASONRY', 'STEEL', 'CMU', 'PRECAST', 'REINFORCED CONCRETE', 'SHEAR WALL', 'FOUNDATION', 'WOOD', 'STONE', 'JOISTS', 'TRUSS', 'FASTENERS', 'ZINC', 'CAST-IN-PLACE', 'STRUCTURAL STEEL', 'WELD', 'COLD-FORMED']",['BRACED WOOD PANELS'],II,B,D,115 mph,See Excel file in results folder
7.pdf,"['21.02.095', '21.02.095.001']",Unknown,Null,"ACI318-14, THE 2018 2018 IBC INTERNATIONAL BUILDING CODE","['REINFORCED CONCRETE', 'MASONRY', 'STEEL', 'CONCRETE', 'METAL DECK', 'WELD', 'CMU', 'BRICK', 'ANCHOR', 'STRUCTURAL STEEL', 'LVL', 'PRECAST', 'ZINC', 'JOISTS', 'CAST-IN-PLACE', 'FOUNDATION', 'FASTENERS', 'PLYWOOD', 'REBAR', 'TILT-UP', 'LIGHT GAUGE', 'WOOD', 'SHEAR WALL', 'CABLE']",['PRECAST SHEAR WALL'],II,D,F,105 mph,See Excel file in results folder
